country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Belgium,35,301,747,465,209,299,341,286,287,143,64,107,170,547,619,473,43,,,8,,,179,188,20,,40,37,33,476,286,503,422,583,575,287,91,91,407,203,313,115,14,12,12,5,3,18,26,48,18,18,37,21,9,3,3,4,6,12,3,2,6,2,2,7,4,7,1,,10298
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Benin,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Biafra,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Bolivia,,6,,,2,,,,26,3,,4,2,4,2,1,1,14,13,1,2,1,13,10,2,18,16,1,4,1,1,5,1,,,6,6,,56,61,,11,9,13,9,,,,,9,18,,,,,,,,,,,1,1,1,6,,,,,,360
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,25,,16,,,,,,,,,,,,,,,,,,,,,87
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,10,17,4,10,,,1,,,,18,,,,15,,,,,,,,2,2,,,,,,,,2,2,83
Brazil,,259,,28,8,53,14,110,135,125,63,191,45,84,25,147,54,218,140,34,73,108,319,373,142,442,184,9,101,10,11,12,2,2,2,23,34,100,46,336,39,12,7,,37,,45,131,,11,22,111,70,8,20,18,18,19,33,0,16,76,127,69,17,37,31,10,56,39,5140
Brunei,,,,,,,,,,,,,,,,1,,,1,,5,10,,,14,,,,,,,1,12,26,,,13,,,,,,,,,,7,16,7,,,,,0,0,,,,,,,,,15,36,36,,,,,200
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,5,,,3,,,,3,,,,,18
Burkina Faso,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,3
Cambodia,,,,,,4,11,4,4,,,0,3,8,4,,9,2,,,6,22,100,122,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323
Cameroon,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,56,,,,,29,1,17,,,,,3,3,,,,,,,,,,,,,,,,,,,,10,,,2,,3,0,,2,4,131
Canada,216,241,952,1590,809,1241,615,260,179,206,166,1571,1194,912,675,451,273,104,249,485,611,455,309,56,224,195,13,13,13,35,383,395,220,646,646,848,788,765,656,12,20,425,121,117,317,328,316,261,66,102,157,83,37,56,70,90,68,400,350,99,197,311,181,170,202,316,128,186,64,58,24964
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,9
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,,14,3,9,57,,,,,,,,,,,,,,,,,1,,,,,,,,6,,2,6,,,118
Chile,1,247,16,10,28,5,40,24,32,2,32,43,19,121,21,37,60,,15,4,57,42,43,66,118,183,207,0,13,5,11,2,23,3,12,4,6,7,9,13,8,12,69,26,18,32,10,6,17,13,19,14,,8,16,,254,81,,30,132,39,38,31,61,81,18,0,44,,2654
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,98,,,16,,,,,,35,2,2,,,,,,,,,,,,,,,,,,,,,,,,211
Colombia,3,4,12,12,31,13,14,15,24,1,5,62,3,28,6,18,32,15,32,119,3,26,18,55,,,10,8,12,36,4,28,18,49,102,7,6,3,35,109,7,52,15,53,42,35,37,103,86,44,60,264,124,96,,4,27,122,16,147,58,80,77,99,25,55,15,36,3,10,2769
